               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083954,            0.036397,            0.020371,          0.00080515,                0.25,          0.00070291,          0.00024815,            0.042108,            0.024216,            0.011316,              0.0973,              0.0003,              0.0003
                   1,            0.079842,              0.0337,             0.01969,          0.00085985,                0.25,          0.00076001,          0.00038001,            0.040887,            0.020866,            0.011481,            0.093677,           0.0006769,           0.0006769
                   2,            0.074144,             0.02962,            0.018105,          0.00083431,                0.25,          0.00072776,          0.00011972,            0.037163,            0.019686,            0.011261,            0.090027,           0.0010274,           0.0010274
                   3,            0.069733,             0.02834,            0.018608,           0.0024906,                0.75,           0.0033793,           0.0011057,            0.033802,            0.015718,            0.010773,            0.086351,           0.0013515,           0.0013515
                   4,            0.064581,             0.02464,            0.018203,           0.0021092,               0.625,           0.0028727,           0.0011223,            0.032262,            0.014218,           0.0094971,            0.082649,           0.0016492,           0.0016492
                   5,            0.068719,            0.026335,            0.024613,           0.0029338,               0.875,            0.022383,           0.0039938,            0.028709,            0.013223,            0.009375,            0.078921,           0.0019205,           0.0019205
                   6,            0.058994,            0.022629,            0.017048,           0.0033343,                   1,             0.08693,            0.013135,            0.026448,            0.011474,            0.009491,            0.075165,           0.0021654,           0.0021654
                   7,            0.055368,            0.025015,            0.016313,           0.0033648,                   1,            0.054429,            0.013145,            0.024191,             0.01174,           0.0073547,            0.071384,           0.0023839,           0.0023839
                   8,             0.05266,            0.024147,            0.015709,            0.032253,               0.875,             0.06183,            0.015715,            0.023769,             0.01024,           0.0073914,            0.067576,            0.002576,            0.002576
                   9,            0.050995,             0.02235,            0.014687,             0.01979,                0.75,             0.13112,            0.025232,            0.025438,           0.0096939,           0.0064636,            0.063742,           0.0027417,           0.0027417
                  10,            0.068716,             0.02372,            0.019979,             0.16506,             0.47645,             0.21861,             0.04734,            0.020845,           0.0098631,           0.0069458,            0.059881,            0.002881,            0.002881
                  11,            0.051543,             0.02259,            0.015234,             0.06662,                0.75,             0.19271,            0.064456,            0.020221,             0.00914,            0.006366,            0.055994,           0.0029939,           0.0029939
                  12,            0.047923,            0.021355,            0.014008,             0.10185,                0.75,             0.32983,             0.11989,            0.019575,           0.0085301,           0.0059509,             0.05208,           0.0030804,           0.0030804
                  13,            0.053775,            0.020885,            0.016209,             0.18379,                0.75,             0.41937,             0.15571,             0.02035,           0.0079818,           0.0056366,            0.048141,           0.0031405,           0.0031405
                  14,            0.049029,            0.021481,            0.012841,             0.68552,             0.62232,             0.78468,               0.279,            0.021014,           0.0077398,           0.0042206,            0.044174,           0.0031742,           0.0031742
                  15,            0.062961,            0.022354,            0.016209,              0.6645,             0.66085,             0.76405,              0.4094,            0.017919,           0.0075836,           0.0040192,            0.040182,           0.0031815,           0.0031815
                  16,            0.047183,            0.021107,             0.01282,             0.49046,             0.71807,             0.63715,             0.36238,            0.018009,           0.0072732,           0.0037994,            0.036162,           0.0031624,           0.0031624
                  17,            0.045468,            0.019935,            0.011344,             0.54759,                0.75,             0.76583,             0.49889,            0.017741,            0.007354,            0.003476,            0.032117,           0.0031169,           0.0031169
                  18,            0.046892,            0.020599,            0.015086,             0.50883,                0.75,             0.77625,             0.32875,             0.01723,           0.0074329,           0.0029602,            0.028045,            0.003045,            0.003045
                  19,            0.042874,            0.020122,            0.011152,             0.65778,                0.75,             0.79143,             0.41999,            0.017088,           0.0077274,           0.0028122,            0.023947,           0.0029467,           0.0029467
                  20,            0.040243,            0.022106,           0.0099149,              0.8026,             0.62188,             0.70906,             0.32771,            0.016832,           0.0077879,            0.002449,            0.019822,            0.002822,            0.002822
                  21,            0.039889,            0.021386,            0.010501,              0.6818,             0.62379,              0.7569,             0.36283,            0.015063,           0.0075451,           0.0022873,            0.015671,           0.0026709,           0.0026709
                  22,             0.03532,            0.022134,             0.01009,             0.65541,              0.6941,             0.81643,             0.34068,            0.016147,           0.0072743,           0.0020538,            0.011493,           0.0024934,           0.0024934
                  23,            0.035579,             0.01896,           0.0091166,             0.66717,             0.76227,             0.79143,             0.39444,            0.015382,           0.0065645,            0.001944,           0.0072895,           0.0022895,           0.0022895
                  24,            0.036003,            0.019471,           0.0091818,             0.73512,               0.875,             0.87833,             0.47317,            0.013905,           0.0062273,           0.0016983,           0.0030592,           0.0020592,           0.0020592
                  25,            0.036003,            0.019276,           0.0084633,             0.63955,             0.77355,             0.82476,             0.36844,             0.01466,           0.0058607,           0.0015358,             0.00175,             0.00175,             0.00175
                  26,            0.035777,            0.019338,           0.0085539,              0.8638,             0.84342,               0.895,              0.4624,            0.013533,           0.0058737,           0.0013863,             0.00175,             0.00175,             0.00175
                  27,            0.033442,            0.020254,           0.0079919,             0.64971,             0.89191,               0.795,             0.34709,            0.015092,           0.0056943,             0.00131,             0.00142,             0.00142,             0.00142
                  28,            0.033826,            0.019841,           0.0081388,             0.89764,             0.82914,                0.97,              0.5199,            0.013621,           0.0056168,            0.001313,             0.00109,             0.00109,             0.00109
                  29,            0.040837,            0.020663,            0.010285,             0.82575,             0.82948,               0.995,             0.56486,            0.013674,           0.0056424,           0.0013527,             0.00076,             0.00076,             0.00076
